Wavelength (Angstroms), Normalized intensity, Element
4223.8, 9272, 
4223.802, 9307, 
4223.804, 9337, 
4223.806, 9363, 
4223.808, 9389, 
4223.81, 9413, 
4223.812, 9435, 
4223.814, 9456, 
4223.816, 9474, 
4223.818, 9491, 
4223.82, 9504, 
4223.822, 9517, 
4223.824, 9527, 
4223.826, 9539, 
4223.828, 9547, 
4223.83, 9553, 
4223.832, 9558, 
4223.834, 9560, 
4223.836, 9562, 
4223.838, 9561, 
4223.84, 9559, 
4223.842, 9557, 
4223.844, 9553, 
4223.846, 9548, 
4223.848, 9540, 
4223.85, 9532, 
4223.852, 9522, 
4223.854, 9511, 
4223.856, 9500, 
4223.858, 9486, 
4223.86, 9472, 
4223.862, 9456, 
4223.864, 9441, 
4223.866, 9425, 
4223.868, 9408, 
4223.87, 9392, 
4223.872, 9376, 
4223.874, 9362, 
4223.876, 9350, 
4223.878, 9337, 
4223.88, 9330, 
4223.882, 9322, 
4223.884, 9315, 
4223.886, 9310, 
4223.888, 9307, 
4223.89, 9305, 
4223.892, 9305, 
4223.894, 9305, 
4223.896, 9308, 
4223.898, 9311, 
4223.9, 9314, 
4223.902, 9318, 
4223.904, 9322, 
4223.906, 9326, 
4223.908, 9330, 
4223.91, 9334, 
4223.912, 9338, 
4223.914, 9342, 
4223.916, 9345, 
4223.918, 9348, 
4223.92, 9351, 
4223.922, 9353, 
4223.924, 9355, 
4223.926, 9356, 
4223.928, 9357, 
4223.93, 9357, 
4223.932, 9356, 
4223.934, 9354, 
4223.936, 9352, 
4223.938, 9350, 
4223.94, 9347, 
4223.942, 9343, 
4223.944, 9339, 
4223.946, 9334, 
4223.948, 9329, 
4223.95, 9324, 
4223.952, 9318, 
4223.954, 9312, 
4223.956, 9304, 
4223.958, 9297, 
4223.96, 9289, 
4223.962, 9280, 
4223.964, 9271, 
4223.966, 9262, 
4223.968, 9252, 
4223.97, 9242, 
4223.972, 9232, 
4223.974, 9221, 
4223.976, 9211, 
4223.978, 9200, 
4223.98, 9189, 
4223.982, 9178, 
4223.984, 9166, 
4223.986, 9154, 
4223.988, 9141, 
4223.99, 9128, 
4223.992, 9115, 
4223.994, 9102, 
4223.996, 9088, 
4223.998, 9073, 
4224.0, 9058, 
4224.002, 9043, 
4224.004, 9028, 
4224.006, 9013, 
4224.008, 8998, 
4224.01, 8982, 
4224.012, 8966, 
4224.014, 8949, 
4224.016, 8932, 
4224.018, 8916, 
4224.02, 8898, 
4224.022, 8878, 
4224.024, 8858, 
4224.026, 8836, 
4224.028, 8813, 
4224.03, 8788, 
4224.032, 8762, 
4224.034, 8735, 
4224.036, 8706, 
4224.038, 8677, 
4224.04, 8645, 
4224.042, 8613, 
4224.044, 8576, 
4224.046, 8539, 
4224.048, 8498, 
4224.05, 8454, 
4224.052, 8407, 
4224.054, 8357, 
4224.056, 8306, 
4224.058, 8253, 
4224.06, 8198, 
4224.062, 8143, 
4224.064, 8084, 
4224.066, 8022, 
4224.068, 7958, 
4224.07, 7891, 
4224.072, 7820, 
4224.074, 7743, 
4224.076, 7663, 
4224.078, 7576, 
4224.08, 7483, 
4224.082, 7383, 
4224.084, 7281, 
4224.086, 7178, 
4224.088, 7066, 
4224.09, 6948, 
4224.092, 6824, 
4224.094, 6695, 
4224.096, 6564, 
4224.098, 6429, 
4224.1, 6282, 
4224.102, 6122, 
4224.104, 5961, 
4224.106, 5789, 
4224.108, 5615, 
4224.11, 5448, 
4224.112, 5275, 
4224.114, 5099, 
4224.116, 4914, 
4224.118, 4726, 
4224.12, 4542, 
4224.122, 4354, 
4224.124, 4164, 
4224.126, 3973, 
4224.128, 3786, 
4224.13, 3597, 
4224.132, 3403, 
4224.134, 3210, 
4224.136, 3024, 
4224.138, 2843, 
4224.14, 2665, 
4224.142, 2491, 
4224.144, 2329, 
4224.146, 2166, 
4224.148, 2010, 
4224.15, 1870, 
4224.152, 1741, 
4224.154, 1624, 
4224.156, 1519, 
4224.158, 1422, 
4224.16, 1336, 
4224.162, 1264, 
4224.164, 1204, 
4224.166, 1155, 
4224.168, 1114, 
4224.17, 1081, 
4224.172, 1054, 
4224.174, 1035, 
4224.176, 1024, 
4224.178, 1020, 
4224.18, 1024, 
4224.182, 1036, 
4224.184, 1058, 
4224.186, 1089, 
4224.188, 1127, 
4224.19, 1179, 
4224.192, 1253, 
4224.194, 1342, 
4224.196, 1450, 
4224.198, 1575, 
4224.2, 1724, 
4224.202, 1904, 
4224.204, 2100, 
4224.206, 2303, 
4224.208, 2522, 
4224.21, 2756, 
4224.212, 3006, 
4224.214, 3262, 
4224.216, 3517, 
4224.218, 3766, 
4224.22, 4002, 
4224.222, 4232, 
4224.224, 4458, 
4224.226, 4665, 
4224.228, 4852, 
4224.23, 5032, 
4224.232, 5197, 
4224.234, 5341, 
4224.236, 5463, 
4224.238, 5576, 
4224.24, 5678, 
4224.242, 5769, 
4224.244, 5843, 
4224.246, 5895, 
4224.248, 5940, 
4224.25, 5973, 
4224.252, 5997, 
4224.254, 6010, 
4224.256, 6013, 
4224.258, 6007, 
4224.26, 5993, 
4224.262, 5972, 
4224.264, 5945, 
4224.266, 5913, 
4224.268, 5876, 
4224.27, 5837, 
4224.272, 5797, 
4224.274, 5755, 
4224.276, 5713, 
4224.278, 5671, 
4224.28, 5631, 
4224.282, 5598, 
4224.284, 5573, 
4224.286, 5555, 
4224.288, 5547, 
4224.29, 5548, 
4224.292, 5562, 
4224.294, 5591, 
4224.296, 5633, 
4224.298, 5686, 
4224.3, 5752, 
4224.302, 5832, 
4224.304, 5924, 
4224.306, 6028, 
4224.308, 6144, 
4224.31, 6271, 
4224.312, 6408, 
4224.314, 6546, 
4224.316, 6685, 
4224.318, 6820, 
4224.32, 6956, 
4224.322, 7092, 
4224.324, 7228, 
4224.326, 7361, 
4224.328, 7490, 
4224.33, 7614, 
4224.332, 7730, 
4224.334, 7839, 
4224.336, 7940, 
4224.338, 8033, 
4224.34, 8121, 
4224.342, 8202, 
4224.344, 8278, 
4224.346, 8349, 
4224.348, 8412, 
4224.35, 8465, 
4224.352, 8514, 
4224.354, 8559, 
4224.356, 8598, 
4224.358, 8634, 
4224.36, 8664, 
4224.362, 8688, 
4224.364, 8710, 
4224.366, 8728, 
4224.368, 8744, 
4224.37, 8754, 
4224.372, 8762, 
4224.374, 8765, 
4224.376, 8764, 
4224.378, 8759, 
4224.38, 8750, 
4224.382, 8736, 
4224.384, 8717, 
4224.386, 8695, 
4224.388, 8669, 
4224.39, 8636, 
4224.392, 8593, 
4224.394, 8543, 
4224.396, 8490, 
4224.398, 8424, 
4224.4, 8350, 
4224.402, 8265, 
4224.404, 8173, 
4224.406, 8075, 
4224.408, 7966, 
4224.41, 7849, 
4224.412, 7721, 
4224.414, 7583, 
4224.416, 7444, 
4224.418, 7305, 
4224.42, 7165, 
4224.422, 7007, 
4224.424, 6850, 
4224.426, 6693, 
4224.428, 6528, 
4224.43, 6367, 
4224.432, 6200, 
4224.434, 6044, 
4224.436, 5900, 
4224.438, 5762, 
4224.44, 5622, 
4224.442, 5488, 
4224.444, 5359, 
4224.446, 5240, 
4224.448, 5126, 
4224.45, 5015, 
4224.452, 4910, 
4224.454, 4802, 
4224.456, 4698, 
4224.458, 4593, 
4224.46, 4486, 
4224.462, 4381, 
4224.464, 4275, 
4224.466, 4165, 
4224.468, 4052, 
4224.47, 3931, 
4224.472, 3808, 
4224.474, 3681, 
4224.476, 3550, 
4224.478, 3414, 
4224.48, 3275, 
4224.482, 3127, 
4224.484, 2985, 
4224.486, 2842, 
4224.488, 2701, 
4224.49, 2562, 
4224.492, 2425, 
4224.494, 2295, 
4224.496, 2169, 
4224.498, 2052, 
4224.5, 1941, 
4224.502, 1841, 
4224.504, 1751, 
4224.506, 1671, 
4224.508, 1606, 
4224.51, 1559, 
4224.512, 1521, 
4224.514, 1495, 
4224.516, 1483, 
4224.518, 1485, 
4224.52, 1503, 
4224.522, 1537, 
4224.524, 1581, 
4224.526, 1657, 
4224.528, 1761, 
4224.53, 1881, 
4224.532, 2024, 
4224.534, 2199, 
4224.536, 2418, 
4224.538, 2657, 
4224.54, 2900, 
4224.542, 3162, 
4224.544, 3450, 
4224.546, 3754, 
4224.548, 4055, 
4224.55, 4347, 
4224.552, 4642, 
4224.554, 4939, 
4224.556, 5229, 
4224.558, 5499, 
4224.56, 5757, 
4224.562, 6002, 
4224.564, 6225, 
4224.566, 6435, 
4224.568, 6631, 
4224.57, 6814, 
4224.572, 6983, 
4224.574, 7126, 
4224.576, 7257, 
4224.578, 7378, 
4224.58, 7492, 
4224.582, 7594, 
4224.584, 7686, 
4224.586, 7767, 
4224.588, 7839, 
4224.59, 7901, 
4224.592, 7955, 
4224.594, 7996, 
4224.596, 8028, 
4224.598, 8054, 
4224.6, 8079, 
4224.602, 8099, 
4224.604, 8117, 
4224.606, 8133, 
4224.608, 8147, 
4224.61, 8160, 
4224.612, 8171, 
4224.614, 8185, 
4224.616, 8196, 
4224.618, 8212, 
4224.62, 8228, 
4224.622, 8243, 
4224.624, 8263, 
4224.626, 8288, 
4224.628, 8315, 
4224.63, 8347, 
4224.632, 8382, 
4224.634, 8422, 
4224.636, 8464, 
4224.638, 8509, 
4224.64, 8557, 
4224.642, 8608, 
4224.644, 8659, 
4224.646, 8710, 
4224.648, 8757, 
4224.65, 8804, 
4224.652, 8853, 
4224.654, 8898, 
4224.656, 8942, 
4224.658, 8983, 
4224.66, 9019, 
4224.662, 9051, 
4224.664, 9080, 
4224.666, 9108, 
4224.668, 9133, 
4224.67, 9156, 
4224.672, 9177, 
4224.674, 9195, 
4224.676, 9210, 
4224.678, 9224, 
4224.68, 9238, 
4224.682, 9250, 
4224.684, 9263, 
4224.686, 9274, 
4224.688, 9283, 
4224.69, 9290, 
4224.692, 9296, 
4224.694, 9301, 
4224.696, 9305, 
4224.698, 9309, 
4224.7, 9311, 
4224.702, 9313, 
4224.704, 9314, 
4224.706, 9314, 
4224.708, 9313, 
4224.71, 9311, 
4224.712, 9308, 
4224.714, 9304, 
4224.716, 9299, 
4224.718, 9293, 
4224.72, 9286, 
4224.722, 9277, 
4224.724, 9268, 
4224.726, 9255, 
4224.728, 9241, 
4224.73, 9226, 
4224.732, 9210, 
4224.734, 9191, 
4224.736, 9170, 
4224.738, 9145, 
4224.74, 9120, 
4224.742, 9090, 
4224.744, 9054, 
4224.746, 9014, 
4224.748, 8966, 
4224.75, 8917, 
4224.752, 8866, 
4224.754, 8811, 
4224.756, 8755, 
4224.758, 8688, 
4224.76, 8616, 
4224.762, 8539, 
4224.764, 8456, 
4224.766, 8368, 
4224.768, 8275, 
4224.77, 8177, 
4224.772, 8070, 
4224.774, 7957, 
4224.776, 7840, 
4224.778, 7719, 
4224.78, 7595, 
4224.782, 7461, 
4224.784, 7322, 
4224.786, 7177, 
4224.788, 7018, 
4224.79, 6850, 
4224.792, 6688, 
4224.794, 6525, 
4224.796, 6352, 
4224.798, 6168, 
4224.8, 5978, 
4224.802, 5789, 
4224.804, 5597, 
4224.806, 5413, 
4224.808, 5218, 
4224.81, 5031, 
4224.812, 4841, 
4224.814, 4661, 
4224.816, 4477, 
4224.818, 4303, 
4224.82, 4134, 
4224.822, 3973, 
4224.824, 3823, 
4224.826, 3674, 
4224.828, 3539, 
4224.83, 3410, 
4224.832, 3290, 
4224.834, 3177, 
4224.836, 3073, 
4224.838, 2981, 
4224.84, 2898, 
4224.842, 2825, 
4224.844, 2762, 
4224.846, 2714, 
4224.848, 2669, 
4224.85, 2636, 
4224.852, 2609, 
4224.854, 2592, 
4224.856, 2584, 
4224.858, 2587, 
4224.86, 2599, 
4224.862, 2622, 
4224.864, 2654, 
4224.866, 2698, 
4224.868, 2748, 
4224.87, 2814, 
4224.872, 2894, 
4224.874, 2986, 
4224.876, 3089, 
4224.878, 3207, 
4224.88, 3337, 
4224.882, 3476, 
4224.884, 3629, 
4224.886, 3793, 
4224.888, 3965, 
4224.89, 4149, 
4224.892, 4341, 
4224.894, 4535, 
4224.896, 4738, 
4224.898, 4943, 
4224.9, 5156, 
4224.902, 5365, 
4224.904, 5571, 
4224.906, 5778, 
4224.908, 5986, 
4224.91, 6191, 
4224.912, 6382, 
4224.914, 6564, 
4224.916, 6753, 
4224.918, 6939, 
4224.92, 7101, 
4224.922, 7250, 
4224.924, 7399, 
4224.926, 7541, 
4224.928, 7672, 
4224.93, 7797, 
4224.932, 7912, 
4224.934, 8022, 
4224.936, 8125, 
4224.938, 8218, 
4224.94, 8306, 
4224.942, 8391, 
4224.944, 8470, 
4224.946, 8539, 
4224.948, 8601, 
4224.95, 8661, 
4224.952, 8718, 
4224.954, 8773, 
4224.956, 8821, 
4224.958, 8868, 
4224.96, 8910, 
4224.962, 8948, 
4224.964, 8982, 
4224.966, 9012, 
4224.968, 9040, 
4224.97, 9067, 
4224.972, 9091, 
4224.974, 9111, 
4224.976, 9131, 
4224.978, 9149, 
